reference,title,communes,insee,dossier_url
IA00060884,usine d'ouvrages en amiante,Saint-Pierre-du-Regard,61447,https://inventaire-patrimoine.normandie.fr/dossier/e6892b25-22e4-4cbb-9c3e-434cee671418
IA00060885,centrale hydroélectrique,Saint-Philbert-sur-Orne,61444,https://inventaire-patrimoine.normandie.fr/dossier/268e9a4a-9d0b-4bf3-88ab-be2766dc5881
IA00060886,scierie de Saint-Evroult,Saint-Evroult-Notre-Dame-du-Bois,61386,https://inventaire-patrimoine.normandie.fr/dossier/ac551034-af77-49ae-b783-93b8082f3fb2
IA00060887,"moulin à papier, filature",Tinchebray,61486,https://inventaire-patrimoine.normandie.fr/dossier/3be4c4e6-81b3-4b00-a5be-29bf694da658
IA00060888,"moulin à blé, filature",Ségrie-Fontaine,61465,https://inventaire-patrimoine.normandie.fr/dossier/50d0c504-09b6-4aa5-abae-0706d3f6be25
IA00060889,usine de construction mécanique dite usine de Construction Mécanique Cousin,Saint-Georges-des-Groseillers,61391,https://inventaire-patrimoine.normandie.fr/dossier/e8e4afcd-ec77-4268-afba-aa8cb7d4583b
IA00060890,fromagerie industrielle,Saint-Evroult-Notre-Dame-du-Bois,61386,https://inventaire-patrimoine.normandie.fr/dossier/72c7db66-5725-450c-9b6a-9affb002f377
IA00060891,fromagerie industrielle,Serans,61470,https://inventaire-patrimoine.normandie.fr/dossier/5d4cbd4e-f48d-46f7-bde7-1dc67f5b7136
IA00060892,filature de coton,Ménil-Hubert-sur-Orne,61269,https://inventaire-patrimoine.normandie.fr/dossier/56f6086f-45f4-4898-a92d-01c3877e751a
IA00060893,filature de coton,Cahan,61069,https://inventaire-patrimoine.normandie.fr/dossier/5087b98c-261c-4355-949d-915acf578073
IA00060894,"haut fourneau, moulin à farine",Dompierre,61146,https://inventaire-patrimoine.normandie.fr/dossier/4edf53a2-97b8-4ddb-bc74-18ebf307945a
IA00060895,fonderie,Argentan,61006,https://inventaire-patrimoine.normandie.fr/dossier/cfe24f63-71ef-4ba1-9c54-a8f47cdc51cc
IA00060896,"filature, usine de chaussures",Cahan,61069,https://inventaire-patrimoine.normandie.fr/dossier/2e06c2e8-40c1-4f29-8de0-d56110552b0b
IA00060897,filature de coton,Caligny,61070,https://inventaire-patrimoine.normandie.fr/dossier/f3368b75-9c61-4871-9b09-73048c1f8120
IA00060898,"usine de confection, usine de matériel électroménager, usine de matériel électroacoustique",Flers,61169,https://inventaire-patrimoine.normandie.fr/dossier/79bd4669-a6e8-40cf-ad76-442679321b9b
IA00060899,haut fourneau,Rânes,61344,https://inventaire-patrimoine.normandie.fr/dossier/241fb84d-5d76-4ec3-9868-368485c43bbc
IA00060900,filature de coton,Saint-Pierre-d'Entremont,61445,https://inventaire-patrimoine.normandie.fr/dossier/1569a5fc-5af9-4ced-9967-4c507de2414e
IA00060901,affinerie de fer,Rânes,61344,https://inventaire-patrimoine.normandie.fr/dossier/ffc46dae-bb00-47c6-bc9b-e0e9a3106f5a
IA00060902,"filature, fromagerie industrielle",Berjou,61044,https://inventaire-patrimoine.normandie.fr/dossier/0b920d52-7d2d-4bee-9310-ee086b212b57
IA00060903,filature de coton,Caligny,61070,https://inventaire-patrimoine.normandie.fr/dossier/77493c8a-f023-4733-a897-c7b181593906
IA00060904,filature de coton,Montilly-sur-Noireau,61287,https://inventaire-patrimoine.normandie.fr/dossier/8f5adc8f-f62b-4153-b407-4f9db4819abd
IA00060905,"fromagerie industrielle, laiterie industrielle",Saint-Bômer-les-Forges,61369,https://inventaire-patrimoine.normandie.fr/dossier/701a31af-9c2b-4a7f-b63c-f257d2bec47c
IA00060906,filature de coton,Montilly-sur-Noireau,61287,https://inventaire-patrimoine.normandie.fr/dossier/40520c19-0185-4170-a307-c66e361acc90
IA00060907,usine de confection,Flers,61169,https://inventaire-patrimoine.normandie.fr/dossier/b03e3c23-feab-4456-bf5c-3902b8bb7488
IA00060908,mine de fer,Larchamp,61223,https://inventaire-patrimoine.normandie.fr/dossier/a1d924c9-c295-4064-b100-b839b80a90d4
IA00060909,"distillerie, cidrerie, laiterie industrielle",Gacé,61181,https://inventaire-patrimoine.normandie.fr/dossier/e0e8ddd7-0a8d-420a-b2a0-c7b36a58eb43
IA00060910,tissage,Flers,61169,https://inventaire-patrimoine.normandie.fr/dossier/286f0f4f-857e-4449-9e35-4c21e914bc73
IA00060911,scierie,Champsecret,61091,https://inventaire-patrimoine.normandie.fr/dossier/4af855f0-3d7f-4e1c-af8d-91c65771a1de
IA00060912,ensemble d'industrie extractive,La Ferrière-aux-Étangs,61163,https://inventaire-patrimoine.normandie.fr/dossier/da22b727-9136-4498-a8f4-156f8abb11c3
IA00060913,tissage (tissage de Coton),Flers,61169,https://inventaire-patrimoine.normandie.fr/dossier/ead596e3-dc26-4e34-9831-60fe2bc2b6a7
IA00060914,tissage (tissage de Coton) dit tissage de la Blanchardière,Flers,61169,https://inventaire-patrimoine.normandie.fr/dossier/83cddd58-ad05-4930-98cc-fdfad6dd518d
IA00060915,filature de coton dite filature de la Planchette,Saint-Georges-des-Groseillers,61391,https://inventaire-patrimoine.normandie.fr/dossier/1bdffde4-d1d1-4484-82e5-ec184ae83404
IA00060916,cidrerie distillerie Anée,Vimoutiers,61508,https://inventaire-patrimoine.normandie.fr/dossier/1a9a2847-6721-406e-829f-3cb0ea579360
IA00060917,moulin à farine,Vimoutiers,61508,https://inventaire-patrimoine.normandie.fr/dossier/92620e30-8fdd-40f0-972c-cf3a2f5bbc5d
IA00060918,usine de chaussures,Trun,61494,https://inventaire-patrimoine.normandie.fr/dossier/fd9f271f-d779-49a9-bb8b-184e8c01b957
IA00060919,moulin à farine,Vrigny,61511,https://inventaire-patrimoine.normandie.fr/dossier/5aa0568f-a61f-4f90-95a0-f44668c33531
IA00060920,scierie,Saint-Germain-de-Clairefeuille,61393,https://inventaire-patrimoine.normandie.fr/dossier/9ec3d6b1-bf68-4db3-8138-ef1366985e52
IA00060921,moulin à tan,Silly-en-Gouffern,61474,https://inventaire-patrimoine.normandie.fr/dossier/8f445157-f487-4dbb-a73a-628a46dfe355
IA00060922,moulin à farine,Écouché,61153,https://inventaire-patrimoine.normandie.fr/dossier/607b0df3-dc2c-4556-bbfa-194b1c5a50d6
IA00060923,tréfilerie,Échauffour,61150,https://inventaire-patrimoine.normandie.fr/dossier/67f8daae-b4c8-462c-8a2d-e1f20bf09b42
IA00060924,"collège, chocolaterie dite chocolaterie de l'Abbaye Suisse Normande",Tinchebray,61486,https://inventaire-patrimoine.normandie.fr/dossier/ed090b86-b0ae-40c3-8865-e0ff69567378
IA00060925,usine de quincaillerie,Tinchebray,61486,https://inventaire-patrimoine.normandie.fr/dossier/dab5894f-f425-4339-aa5e-74112201dc4d
IA00060926,"usine de ferblanterie, usine de serrurerie",Tinchebray,61486,https://inventaire-patrimoine.normandie.fr/dossier/eaea568b-7601-4bdf-8f38-5fadccbc4d80
IA00060927,"moulin à papier, usine de quincaillerie dit moulin de Rochefort",Tinchebray,61486,https://inventaire-patrimoine.normandie.fr/dossier/bc846388-04b3-4ee9-8512-d9ea8d170580
IA00060928,usine de quincaillerie,Tinchebray,61486,https://inventaire-patrimoine.normandie.fr/dossier/efb0da58-bc5b-45cc-9a13-7e4697b7be1e
IA00060929,"tonnellerie, usine de boissellerie",Tinchebray,61486,https://inventaire-patrimoine.normandie.fr/dossier/fd9989f4-cad5-4cac-af74-945cb69b8a71
IA00060930,"moulin à farine, usine de quincaillerie",Tinchebray,61486,https://inventaire-patrimoine.normandie.fr/dossier/6dbbf757-cc58-4f38-9949-a020e2f2453b
IA00060931,scierie,Dompierre,61146,https://inventaire-patrimoine.normandie.fr/dossier/2e457791-3208-4a23-bbc8-ddc223ce30e2
IA00060932,usine de confection,Flers,61169,https://inventaire-patrimoine.normandie.fr/dossier/6017fa46-e6f0-4085-8760-68bb54cfc44d
IA00060933,moulin à farine,Saint-Pierre-d'Entremont,61445,https://inventaire-patrimoine.normandie.fr/dossier/7e88c5db-ce9d-446d-b6f4-51cb5bd420c0
IA00060934,tannerie,Vimoutiers,61508,https://inventaire-patrimoine.normandie.fr/dossier/3c7f9eb5-db5e-476a-a1ab-91d6270de979
IA00060935,usine de teinturerie,La Carneille,61073,https://inventaire-patrimoine.normandie.fr/dossier/be4d1083-c2d1-40cc-b09d-cacc6979f5ae
IA00060936,cidrerie,Montreuil-au-Houlme,61290,https://inventaire-patrimoine.normandie.fr/dossier/53e8a5b3-c08f-4c2c-9ae7-b18cdf3e3c55
IA00060937,fromagerie industrielle,Montreuil-la-Cambe,61291,https://inventaire-patrimoine.normandie.fr/dossier/5ede3b04-daf5-4e69-ad68-9b77f385c0d2
IA00060938,centrale hydroélectrique,Rabodanges,61340,https://inventaire-patrimoine.normandie.fr/dossier/607486b0-aec7-439d-8c60-2373ec8c3772
IA00060939,fromagerie industrielle,Le Renouard,61346,https://inventaire-patrimoine.normandie.fr/dossier/fceacf84-952a-4d8d-8db0-efdf2cc7b3ad
IA00060940,fromagerie industrielle,Le Renouard,61346,https://inventaire-patrimoine.normandie.fr/dossier/5e0446e2-3107-4c4c-9cf1-c34230199052
IA00060941,abattoir,L'Aigle,61214,https://inventaire-patrimoine.normandie.fr/dossier/859dc28b-a0dd-48b7-8d21-c07aebc0c394
IA00060942,moulin à farine,Feings,61160,https://inventaire-patrimoine.normandie.fr/dossier/9b96d451-5274-404c-87fa-3478b0e5a352
IA00060943,"tréfilerie de Sainte-Colombe, puis S.A. le Domaine du Tremblay, puis fromagerie et laiterie industrielle dite Société Laitière et Fromagère de Sainte-Gauburge, puis S.A. la Normandie Centrale, puis Société Coopérative Agricole Groupement Laitier du Perche",Échauffour,61150,https://inventaire-patrimoine.normandie.fr/dossier/1a7eedac-04bd-4881-bb48-2080a95b1611
IA00060944,moulin à farine,Sainte-Marguerite-de-Carrouges,61419,https://inventaire-patrimoine.normandie.fr/dossier/7d7d2119-f7e5-46e6-97dd-d61aad882d6e
IA00060945,moulin à farine,Saint-Martin-l'Aiguillon,61427,https://inventaire-patrimoine.normandie.fr/dossier/c00da04a-cc2a-460e-aced-1c44ff737c01
IA00060946,affinerie de fer,Saint-Patrice-du-Désert,61442,https://inventaire-patrimoine.normandie.fr/dossier/728446d8-33e1-478b-a982-3160a704578f
IA00060947,haut fourneau de la Vie,Saint-Patrice-du-Désert,61442,https://inventaire-patrimoine.normandie.fr/dossier/53a602b0-f4bb-4d15-b8e7-e7baafd71d09
IA00060948,fenderie de fer,Le Champ-de-la-Pierre,61085,https://inventaire-patrimoine.normandie.fr/dossier/61cddbc2-8135-4bde-a3c3-1fb5bfe39ca8
IA00060949,affinerie de fer dite forge de la Roche,Livaie,61228,https://inventaire-patrimoine.normandie.fr/dossier/7b5b8c23-8a44-4527-a889-bdee6180094a
IA00060950,moulin à farine,Macé,61240,https://inventaire-patrimoine.normandie.fr/dossier/fec36c1b-86bf-42e2-857d-559a5ac73865
IA00060951,moulin à farine,Macé,61240,https://inventaire-patrimoine.normandie.fr/dossier/9d7ad0b2-563f-4e06-9980-c53f6e84720f
IA00060952,"édifice sportif, abattoirs municipaux, usine de confection",Sées,61464,https://inventaire-patrimoine.normandie.fr/dossier/4d314546-51bf-4db1-b15b-319fb6dd8a67
IA00060953,"tuilerie, briqueterie, fonderie, usine d'appareils de levage et de manutention",Sées,61464,https://inventaire-patrimoine.normandie.fr/dossier/740f93c2-905a-47be-a64e-f5d4fc634900
IA00060954,moulin à farine,Mantilly,61248,https://inventaire-patrimoine.normandie.fr/dossier/c81cdf0c-018e-45ed-bba1-50dcaa30b325
