source_id;nom;producteur;priorite;role_retenu;perimetre;unite;formats_acces;url;licence;geolocalisation;identifiants;mise_a_jour;test_acces;statut_audit;limites;date_audit
inventaire_normandie_orne;Inventaire du patrimoine industriel de l'Orne;Région Normandie - Inventaire général;P0;principale;Orne, établissements créés avant 1950 et étudiés de 1986 à 1994;dossier de site;HTML et PDF;https://inventaire-patrimoine.normandie.fr/dossier/IA61000851/corpus;droits à vérifier par type de contenu;cadastrale ou absente;référence IA;non précisée;corpus, fiches et identifiants testés;validee_avec_reserves;319 dossiers, pas d'export global identifié, contrôle JavaScript, droits des images à vérifier;2026-07-19
pop_merimee;POP - Mérimée;Ministère de la Culture;P1;enrichissement;notices architecturales de l'Inventaire et des Monuments historiques;notice d'édifice;interface POP, CSV, GeoJSON et API pour le sous-ensemble MH;https://pop.culture.gouv.fr/;données descriptives réutilisables avec attribution, médias selon droits;variable;référence Mérimée;variable selon collection;recherche et export MH testés;validee_avec_reserves;l'export ouvert identifié porte sur les MH et non sur tout l'Inventaire;2026-07-19
pop_palissy;POP - Palissy;Ministère de la Culture;P2;enrichissement;objets protégés et notices mobilières;notice d'objet;interface POP et CSV national;https://www.data.gouv.fr/datasets/liste-des-objets-proteges-au-titre-des-monuments-historiques;Licence Ouverte pour les données, médias selon droits;liée à l'édifice ou à la commune;référence PM et lien Mérimée éventuel;fréquente;en-tête et accès partiel au CSV testés;validee_avec_reserves;CSV d'environ 363 Mo, rapprochements parfois indirects, couverture limitée aux objets protégés dans l'export;2026-07-19
monuments_historiques_data_culture;Immeubles protégés au titre des Monuments historiques;Ministère de la Culture;P1;enrichissement;immeubles classés ou inscrits;notice d'immeuble protégé;CSV, GeoJSON et API;https://data.culture.gouv.fr/explore/dataset/liste-des-immeubles-proteges-au-titre-des-monuments-historiques/;Licence Ouverte 2.0;WGS84 partiel;référence Mérimée;hebdomadaire annoncée;filtre Orne et complétude testés;validee;420 notices, 341 coordonnées, environ 18 candidats industriels avant revue manuelle;2026-07-19
casias;CASIAS;Géorisques / DREAL Normandie;P1;elargissement;anciens sites industriels et activités de service;établissement ou relation établissement-commune;CSV, fiches, Shapefile et WFS;https://www.data.gouv.fr/datasets/carte-des-anciens-sites-industriels-et-activites-de-services-casias-normandie;Licence Ouverte 2.0;très hétérogène;identifiants SSP, BASIAS ou code inventaire;variable;WFS filtré sur le département 61;validee_avec_reserves;2052 sites, 209 coordonnées x/y, 1853 non géolocalisés, activités absentes de la couche testée, bruit important;2026-07-19
ign;IGN - Géoplateforme;IGN;P1;contexte_geographique;France;objet ou couche géographique;WFS, WMTS, API et téléchargement;https://geoservices.ign.fr/;selon produit;géométries de référence;identifiants selon produit;selon produit;WFS, WMTS et géocodeur testés;validee_avec_reserves;catalogue très large, couche et millésime à fixer avant chaque usage;2026-07-19
cadastre;Cadastre ouvert;DGFiP et Etalab;P1;contexte_geographique;France;parcelle et bâtiment;GeoJSON et Shapefile;https://cadastre.data.gouv.fr/;Licence Ouverte;géométries parcellaires actuelles;identifiants cadastraux;millésimes réguliers;fichier départemental des parcelles testé;validee_avec_reserves;ne prouve ni l'emprise historique ni la propriété;2026-07-19
ban;Base Adresse Nationale;État et partenaires;P1;contexte_geographique;France;adresse;CSV départemental et géocodeur Géoplateforme;https://adresse.data.gouv.fr/;Licence Ouverte;point d'adresse;identifiant BAN et code INSEE;continue;fichier Orne et géocodeur testés;validee_avec_reserves;une adresse ou un lieu-dit ne localise pas nécessairement l'emprise du site;2026-07-19
hydrographie;BD TOPAGE;IGN / OFB / Sandre;P1;contexte_geographique;France et bassins versants;cours d'eau, plan d'eau, surface et tronçon;Shapefile et services documentés;https://www.data.gouv.fr/datasets/bd-topage-r;Licence Ouverte 2.0;géométries linéaires et surfaciques;identifiants TOPAGE;selon couche;téléchargement Shapefile national testé;validee_avec_reserves;fichier national volumineux, la proximité calculée ne prouve pas l'usage industriel de l'eau;2026-07-19
forets;BD Forêt v2;IGN;P2;contexte_geographique;France;formation végétale;fichiers départementaux;https://www.data.gouv.fr/datasets/bd-foret-r;Licence Ouverte 2.0;polygones;identifiants du produit;millésime variable;documentation et diffusion vérifiées;validee_avec_reserves;état contemporain parfois ancien et précision non cadastrale;2026-07-19
forets_anciennes;BD Forêts anciennes;IGN;P1;contexte_geographique;France;surface forestière ancienne;WMS et WMTS;https://www.data.gouv.fr/datasets/bd-forets-anciennes;Licence Ouverte;polygones issus de cartes vers 1850;identifiants du produit;ponctuelle;couche et services Géoplateforme vérifiés;validee_avec_reserves;donnée reconstruite, à employer comme contexte et non comme preuve causale;2026-07-19
brgm;Cartes géologiques harmonisées et services InfoTerre;BRGM;P2;contexte_geographique;France;formation géologique et ressource;Shapefile, WMS et WFS;https://infoterre.brgm.fr/page/geoservices-ogc;à enregistrer par produit;géométries variables;identifiants BRGM;selon produit;WFS Géologie GetCapabilities testé;validee_avec_reserves;la géologie ne prouve pas une exploitation, conditions de réutilisation à fixer par jeu;2026-07-19
