type,reference_source,site_candidat_reference,score_texte,distance_m,motif,decision
casias,BNO6100001,IA00061186,55,124.8,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100008,IA00060961,46,221.0,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100037,IA00061165,67,304.7,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100145,IA00061154,40,370.7,candidat_insuffisant_pour_rattachement_automatique,rejete_apres_revue
casias,BNO6100147,IA00061114,73,801.1,candidat_insuffisant_pour_rattachement_automatique,maintenu_ambigu_apres_revue
casias,BNO6100228,IA00060969,19,85.5,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100341,IA00061147,80,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100405,IA00061149,0,7.0,candidat_insuffisant_pour_rattachement_automatique,maintenu_ambigu_apres_revue
casias,BNO6100427,IA00061153,67,128.6,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100481,IA00061086,44,79.4,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100504,IA00061048,0,303.9,candidat_insuffisant_pour_rattachement_automatique,rejete_apres_revue
casias,BNO6100516,IA00060885,67,294.7,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100519,IA00061093,80,826.1,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100530,IA00061053,57,170.9,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100533,IA00061053,27,145.9,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100541,IA00061138,73,1505.5,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100683,IA00060896,75,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100684,IA00060893,55,104.3,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100689,IA00060903,75,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100697,IA00060906,36,51.3,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100704,IA00060888,12,244.7,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100720,IA00061171,32,55.6,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100784,IA00060899,38,65.8,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100828,IA00060935,0,11.6,candidat_insuffisant_pour_rattachement_automatique,maintenu_ambigu_apres_revue
casias,BNO6100835,IA00060911,80,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100856,IA00061179,60,215.8,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100858,IA00061181,45,260.7,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100862,IA00061183,89,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100883,IA00061183,80,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6100904,IA00061043,80,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6101000,IA00061183,89,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6101004,IA00061041,75,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6101017,IA00061133,0,428.5,candidat_insuffisant_pour_rattachement_automatique,maintenu_ambigu_apres_revue
casias,BNO6101183,IA00060984,80,,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6101268,IA00061087,67,214.3,candidat_insuffisant_pour_rattachement_automatique,confirme_apres_revue
casias,BNO6101305,IA00061123,0,42.1,candidat_insuffisant_pour_rattachement_automatique,maintenu_ambigu_apres_revue
