reference_casias,nom,adresse,code_insee,commune,avec_coordonnees,statut,motif,source_url
BNO6100009,La filature de Saint Clair,forge la,61376,SAINT CLAIR DE HALOUZE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795698
BNO6100010,Haut Fourneau de Varennes,la forge de Halouze,61376,SAINT CLAIR DE HALOUZE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795699
BNO6100034,FONDERIE,Hameau forges les,61369,SAINT BOMER LES FORGES,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795722
BNO6100043,Moulin de la Picarderie.,,61176,FRANCHEVILLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795730
BNO6100045,Usine de la Fonderie.,,61055,BOUCE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795732
BNO6100054,FONDERIE,,61006,ARGENTAN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795739
BNO6100084,FONDERIE DE SUIF EN BRANCHE AU BAIN MARIE.,,61006,ARGENTAN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795765
BNO6100091,Usine à gaz.,,61006,ARGENTAN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795772
BNO6100103,Manufacture à quatre alambics de goudron et d'acide,"lieu dit ""rue des teniers""",61460,LE SAP,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795784
BNO6100138,MOULIN A TAN,Chemin vicinal n°8,61346,LE RENOUARD,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795809
BNO6100139,MOULIN FOULON HAUT,"1 lieu dit "" le moulin Foulon"" Voie communale n°.",61139,CROUTTES,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795810
BNO6100154,USINE DE SAINT SULPICE,,61456,SAINT SULPICE SUR RISLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795821
BNO6100168,USINE DU SIFLET,,61003,ANCEINS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795831
BNO6100170,USINE DE TERNANT,,61282,MONNAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795833
BNO6100183,VERRERIE DE SAINT EVROULT N.D.D.B.,,61167,LA FERTE FRENEL,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795845
BNO6100187,FONDERIE DE CUIVRE,,61092,CHANDAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795849
BNO6100188,TREFILERIE DU GRAND MOULIN,LE GRAND MOULIN,61092,CHANDAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795850
BNO6100219,LE MOULIN LEGUME,57 rue Mamers de,61001,ALENCON,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3795878
