dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url
IA00060896,pilote_30,enrichi_socle_v1,site_pilote_valide,2ab6b065-4bf3-4956-a9c2-656c2f9cfbfa,"filature, usine de chaussures",Cahan,61069,,Fourneaux,filature | usine de chaussures,filature_textile | fabrication_chaussures,textile_habillement_cuir,filature | usine,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres,revolution_premiere_industrialisation | industrialisation_rail_vapeur | modernisation_apres_guerre,geometrie_approximative,-0.42778489906881867,48.86456213067169,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/2e06c2e8-40c1-4f29-8de0-d56110552b0b
IA00060901,pilote_30,enrichi_socle_v1,site_pilote_valide,3495d47b-0c8f-45b9-866b-dcc3357542e7,affinerie de fer,Rânes,61344,,Forge (La),affinerie,affinage_metaux,metallurgie_travail_metaux,affinerie,avant_1789 | revolution_premiere_industrialisation,avant_1789 | revolution_premiere_industrialisation,geometrie_approximative,-0.192303752081454,48.62883233414116,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/ffc46dae-bb00-47c6-bc9b-e0e9a3106f5a
IA00060902,pilote_30,enrichi_socle_v1,site_pilote_valide,57368564-3e33-4b35-9d3c-555a5cb0bbc1,"filature, fromagerie industrielle",Berjou,61044,,Fromagerie (La),filature | fromagerie industrielle,filature_textile | transformation_lait,agroalimentaire | textile_habillement_cuir,filature | fromagerie,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres,revolution_premiere_industrialisation | industrialisation_rail_vapeur | modernisation_apres_guerre,geometrie_approximative,-0.4692362808837436,48.86744482145761,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/0b920d52-7d2d-4bee-9310-ee086b212b57
IA00060909,pilote_30,enrichi_socle_v1,site_pilote_valide,3ae9aff0-231d-4365-a718-039b17021fc0,"distillerie, cidrerie, laiterie industrielle",Gacé,61181,Touque (rue de la),Planier (Le),distillerie | cidrerie | laiterie industrielle,distillation_alimentaire | production_cidre | transformation_lait,agroalimentaire,cidrerie | distillerie | laiterie,industrialisation_rail_vapeur | guerres_entre_deux_guerres,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,0.29295608862635,48.7954745243465,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/e0e8ddd7-0a8d-420a-b2a0-c7b36a58eb43
IA00060915,pilote_30,enrichi_socle_v1,site_pilote_valide,2c664ed5-7ee5-4315-aa61-e9b9032b56c0,filature de coton dite filature de la Planchette,Saint-Georges-des-Groseillers,61391,,Planchette (La),filature,filature_textile,textile_habillement_cuir,filature,industrialisation_rail_vapeur | guerres_entre_deux_guerres,industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,-0.5743152336616424,48.76742714744118,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/1bdffde4-d1d1-4484-82e5-ec184ae83404
IA00060938,pilote_30,enrichi_socle_v1,site_pilote_valide,2b6d576e-11fb-4af4-85ba-dc1b950a731d,centrale hydroélectrique,Rabodanges,61340,,Plessis (Le),centrale hydroélectrique,production_hydroelectricite,energie,centrale_hydroelectrique,modernisation_apres_guerre,modernisation_apres_guerre,geometrie_approximative,-0.2965698588180073,48.78773387593912,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/607486b0-aec7-439d-8c60-2373ec8c3772
IA00060959,pilote_30,enrichi_socle_v1,site_pilote_valide,3c95b12b-1cb8-4439-a0d9-60152e8a327f,usine de fabrication des métaux,Saint-Denis-sur-Sarthon,61382,,Forge (La),usine de fabrication des métaux,fabrication_metaux,metallurgie_travail_metaux,usine,avant_1789 | industrialisation_rail_vapeur,avant_1789 | industrialisation_rail_vapeur,geometrie_approximative,-0.05470964099131984,48.46276650506727,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/b9ab38fb-7d71-443c-890a-c0fdb7018dd9
IA00060965,pilote_30,enrichi_socle_v1,site_pilote_valide,d7b0b9b0-6817-4057-8535-3ce9b61ed857,"affinerie, moulin à blé",Champsecret,61091,,Forge (La),affinerie | moulin à blé,affinage_metaux | mouture_cereales,agroalimentaire | metallurgie_travail_metaux,affinerie | moulin,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,geometrie_approximative,-0.5486016317751446,48.5986464736866,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/22eb353c-b259-4251-945e-69fd4ae03831
IA00060969,pilote_30,enrichi_socle_v1,site_pilote_valide,4b0fcc92-f32b-4040-ae5d-32a4945b176a,"moulin à farine dit moulin d'Ozé, puis filature d'Ozé, puis usine de matériel électroménager Moulinex",Alençon,61001,Mamers (rue de) 25,,moulin à farine | filature | usine de matériel électroménager,mouture_cereales | filature_textile | fabrication_materiel_electrique,agroalimentaire | mecanique_electrique | textile_habillement_cuir,filature | moulin | usine,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,0.10079551488612261,48.41863958530717,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9ae3477c-3f66-4615-986f-37f6b872f25f
IA00060997,pilote_30,enrichi_socle_v1,site_pilote_valide,0f433fbc-09eb-42de-ba2f-75eec5c7a050,faïencerie,Saint-Denis-sur-Sarthon,61382,,,faïencerie,fabrication_ceramique,verre_ceramique_materiaux_construction,faiencerie,avant_1789,avant_1789,geometrie_approximative,-0.04466949682273202,48.4574697462757,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/a3c6988d-4dec-4f14-a75a-214154b55d2a
