dossier_reference,statut,titre_source,communes_source,insee_source,adresses_source,denominations_source,activites_codes,secteurs_codes,installations_codes,scle_source,dossier_url
IA00060886,un_site_presume_a_verifier,scierie de Saint-Evroult,Saint-Evroult-Notre-Dame-du-Bois,61386,,scierie,sciage_bois,bois_papier_imprimerie,scierie,limite 19e siècle 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/ac551034-af77-49ae-b783-93b8082f3fb2
IA00060892,un_site_presume_a_verifier,filature de coton,Ménil-Hubert-sur-Orne,61269,,filature,filature_textile,textile_habillement_cuir,filature,3e quart 19e siècle | 4e quart 19e siècle | 2e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/56f6086f-45f4-4898-a92d-01c3877e751a
IA00060899,un_site_presume_a_verifier,haut fourneau,Rânes,61344,,haut fourneau,production_fonte,metallurgie_travail_metaux,haut_fourneau,2e quart 16e siècle (détruit),https://inventaire-patrimoine.normandie.fr/dossier/241fb84d-5d76-4ec3-9868-368485c43bbc
IA00060907,un_site_presume_a_verifier,usine de confection,Flers,61169,11e Division Britannique (rue de la) 33,usine de confection,confection_habillement,textile_habillement_cuir,usine,2e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/b03e3c23-feab-4456-bf5c-3902b8bb7488
IA00060914,un_site_presume_a_verifier,tissage (tissage de Coton) dit tissage de la Blanchardière,Flers,61169,Durmeyer (rue) 16,tissage,tissage,textile_habillement_cuir,tissage,4e quart 19e siècle | 1er quart 20e siècle | 2e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/83cddd58-ad05-4930-98cc-fdfad6dd518d
IA00060920,un_site_presume_a_verifier,scierie,Saint-Germain-de-Clairefeuille,61393,,scierie,sciage_bois,bois_papier_imprimerie,scierie,2e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/9ec3d6b1-bf68-4db3-8138-ef1366985e52
IA00060926,un_site_presume_a_verifier,"usine de ferblanterie, usine de serrurerie",Tinchebray,61486,"Porets (rue au) 11, 13",usine de ferblanterie | usine de serrurerie,fabrication_metaux | fabrication_quincaillerie,metallurgie_travail_metaux,usine,3e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/eaea568b-7601-4bdf-8f38-5fadccbc4d80
IA00060932,un_site_presume_a_verifier,usine de confection,Flers,61169,Boule (rue de la) 80,usine de confection,confection_habillement,textile_habillement_cuir,usine,2e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/6017fa46-e6f0-4085-8760-68bb54cfc44d
IA00060939,un_site_presume_a_verifier,fromagerie industrielle,Le Renouard,61346,,fromagerie industrielle,transformation_lait,agroalimentaire,fromagerie,4e quart 19e siècle | 1er quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/fceacf84-952a-4d8d-8db0-efdf2cc7b3ad
IA00060945,un_site_presume_a_verifier,moulin à farine,Saint-Martin-l'Aiguillon,61427,,moulin à farine,mouture_cereales,agroalimentaire,moulin,1er quart 19e siècle (?),https://inventaire-patrimoine.normandie.fr/dossier/c00da04a-cc2a-460e-aced-1c44ff737c01
