site_id,reference_ia,reference_mh,titre_mh,protection,date_protection,distance_coordonnees_m,methode,fiabilite
f21ce411-fee0-4c29-9bb0-464481dfdd62,IA00061194,PA00135531,Tuilerie de la Maison Neuve,inscrit MH partiellement,1995/06/09 : inscrit MH partiellement,3.3,reference_IA_explicite_dans_notice_PA,forte
890265c5-e62f-45f7-aed2-08fb1814f457,IA00061155,PA00135530,Usine Bohin,inscrit MH partiellement,1995/10/02 : inscrit MH partiellement,29.2,reference_IA_explicite_dans_notice_PA,forte
7dd84e16-c830-4b16-9232-61810984cc7d,IA00061192,PA00135529,Moulin de Tercey,inscrit MH partiellement,1995/06/01 : inscrit MH partiellement,12.4,reference_IA_explicite_dans_notice_PA,forte
4741673e-b363-42ce-9339-de6f19ccf704,IA00061063,PA00135527,Tuilerie de Voré,inscrit MH partiellement,1995/09/18 : inscrit MH partiellement,,reference_IA_explicite_dans_notice_PA,forte
f0f4f48f-f11c-4877-a62d-b28b0349b1bc,IA00061015,PA00135523,Moulin à papier,inscrit MH partiellement,1995/06/09 : inscrit MH partiellement,8.0,reference_IA_explicite_dans_notice_PA,forte
82718138-99cb-45fb-a081-95b61c5dce48,IA00061095,PA00135522,Briqueterie des Chauffetières,inscrit MH partiellement,1995/06/09 : inscrit MH partiellement,,reference_IA_explicite_dans_notice_PA,forte
59a5a71f-3cda-4ef8-bf71-f8f18b7a566d,IA00061010,PA00135520,Minoterie,inscrit MH partiellement,1995/06/01 : inscrit MH,107.5,reference_IA_explicite_dans_notice_PA,forte
b7c72c17-6899-4872-a082-099165853ccb,IA00061014,PA00135515,Moulin de Buré,inscrit MH,1995/06/01 : inscrit MH,34.0,reference_IA_explicite_dans_notice_PA,forte
687037bf-bf42-4ee7-a5f4-e79d60a38cc1,IA00061119,PA00135514,Filature de la Martinique,inscrit MH partiellement,1995/10/02 : inscrit MH partiellement,68.5,reference_IA_explicite_dans_notice_PA,forte
f0bdb9e3-c3bf-41cd-8704-d630daf00661,IA00061073,PA00135513,Bâtiment et machine à vapeur de l'ancienne scierie Prout,inscrit MH partiellement,1995/11/15 : inscrit MH,50.3,reference_IA_explicite_dans_notice_PA,forte
3c95b12b-1cb8-4439-a0d9-60152e8a327f,IA00060959,PA00110985,Grosse forge,inscrit MH partiellement,1990/09/26 : inscrit MH,,reference_IA_explicite_dans_notice_PA,forte
f96708a3-2822-460f-bd78-acbb7ca565f0,IA00060887,PA00110958,Filature de Rochefort,inscrit MH,1987/02/02 : inscrit MH,143.0,reference_IA_explicite_dans_notice_PA,forte
628b5841-d265-4efe-8fbf-e0f63652c2a7,IA00060964,PA00110771,Forges de Varennes,classé MH partiellement,1987/07/16 : classé MH,,reference_IA_explicite_dans_notice_PA,forte
d0eafed6-a138-4b49-94f9-e337a2eaba31,IA00061023,PA00110766,Grosse forge,classé MH partiellement,1991/09/19 : classé MH,,reference_IA_explicite_dans_notice_PA,forte
43d7512d-7196-4864-bc90-64b3b3474bce,IA00061029,PA00110731,Ancienne forge,classé MH,1982/09/21 : classé MH,37.5,reference_IA_explicite_dans_notice_PA,forte
ae3aa777-9d3d-4358-8c29-e5abe97af309,IA00061077,PA00110688,Usine d'aiguilles de Mérouvel,inscrit MH partiellement,1987/05/06 : inscrit MH,110.1,reference_IA_explicite_dans_notice_PA,forte
