site_id,reference_ia,reference_casias,nom_casias,adresse_casias,distance_m,score_texte,statut,usage
b5a1e06b-7ded-4601-a417-a8d86d1eb57b,IA00060889,BNO6100013,FAURECIA,59 rue ANDRE Lethard,1.7,27,recoupement_confirme,recoupement_uniquement
0bca4639-749a-4699-8d76-4438d262a69b,IA00061127,BNO6100055,USINE MOULINEX,25 rue commerce du,68.0,75,recoupement_confirme,recoupement_uniquement
ca2f91ac-a044-424e-9b8f-44a5cc23bc9f,IA00061055,BNO6100143,USINE DE GONDRILLER,"lieu dit ""Les Gondrillers""",38.9,40,recoupement_confirme,recoupement_uniquement
3cd6efff-908d-40af-b51b-2fac47cd8763,IA00061059,BNO6100144,TREFILERIE DE  POUDCILLIEUX,"lieu dit ""Le moulin de la chaise""",10.8,80,recoupement_confirme,recoupement_uniquement
be1c19ae-3062-4f64-b8db-602ab713f052,IA00061113,BNO6100146,EMPOINTERIE D ORGUILLERIE DITE USINE DE LA BATTERIE,lieu dit Le moulin à tan,30.9,72,recoupement_confirme,recoupement_uniquement
c0499679-8ce8-4a4c-97b1-e72762eda039,IA00061154,BNO6100149,TREFILERIE DE LA FOSSE,"lieu dit ""La Fosse""",34.1,67,recoupement_confirme,recoupement_uniquement
a922d44a-178e-4eee-a9f4-738e33f98216,IA00061114,BNO6100155,MOULIN DE BOUVIERS / TREFILERIE / USINE DE QUINCAILLERIE,"lieu dit ""Le Bouviers""",7.7,71,recoupement_confirme,recoupement_uniquement
0bbe4bbc-3645-42cf-abe5-0b4065cb17cd,IA00061108,BNO6100185,,"lieu dit ""Chateau des Masselins""",5.8,50,recoupement_confirme,recoupement_uniquement
56194951-61d8-407b-9129-22f7b80ec643,IA00060973,BNO6100222,,43 route Isle de l',15.7,50,recoupement_confirme,recoupement_uniquement
8c9e1052-98ba-40dc-8669-58721805a1dd,IA00061115,BNO6100359,USINE D' IVERSAY,"lieu dit ""Yversay""",5.9,20,recoupement_confirme,recoupement_uniquement
c5f7957f-fc85-400a-8893-4312779450f9,IA00061143,BNO6100365,USINE BELLEVUE,"lieu dit ""La verrerie de Bellevue""",1.5,48,recoupement_confirme,recoupement_uniquement
b90dba0b-3e14-4b39-91ee-1db6eb1b2c04,IA00061112,BNO6100415,HAUT FOURNEAU DE RAINVILLE,"lieu dit ""Rainville""",1.8,67,recoupement_confirme,recoupement_uniquement
a8073274-ed87-48eb-8450-b809bb064c51,IA00061068,BNO6100439,HAUT FOURNEAU DU MOULIN-RENAULT (aujourd'hui RENAUD),"lieu dit ""Le moulin Renaud""",5.2,62,recoupement_confirme,recoupement_uniquement
f0f4f48f-f11c-4877-a62d-b28b0349b1bc,IA00061015,BNO6100502,USINE ABADIE,"lieu dit ""Le moulin de Male""",8.0,59,recoupement_confirme,recoupement_uniquement
2b6d576e-11fb-4af4-85ba-dc1b950a731d,IA00060938,BNO6100515,BARRAGE DE RABODANGES,PLESSIS le,38.4,44,recoupement_confirme,recoupement_uniquement
2f3e86c1-08b4-4131-9a06-8f30764843cb,IA00061135,BNO6100520,FONDERIE DE FONTE,"lieu dit ""la Cernetterie""",20.9,33,recoupement_confirme,recoupement_uniquement
9beebeaf-590c-4229-bcbd-0e69bf5b332a,IA00060943,BNO6100524,TREFILERIE DE SAINTE COLOMBE,farcière la,28.5,34,recoupement_confirme,recoupement_uniquement
1c4f103a-7001-43d0-a693-db8e1bce1f97,IA00061144,BNO6100534,EURO-FAC-ALUTEAM; usine de CORRU,"lieu dit ""Corru""",1.5,40,recoupement_confirme,recoupement_uniquement
6c67e9dd-5602-439e-b43a-f5d274f28774,IA00061094,BNO6100546,FORGES DE GAILLON DE RANDONNAI,"lieu dit ""Les Gaillons""",48.9,53,recoupement_confirme,recoupement_uniquement
b48a1877-edbc-4e07-8c90-b24a63cb96e0,IA00061106,BNO6100547,FONDERIE,18 route Sainte Anne,83.3,56,recoupement_confirme,recoupement_uniquement
01ebeb26-7c8d-405f-a7a1-25ed714ed730,IA00061084,BNO6100566,USINE à GAZ,48 rue St Barthélemy,25.8,71,recoupement_confirme,recoupement_uniquement
2531b4fb-10c7-410c-abe6-43a99bad7134,IA00061040,BNO6100678,USINE FERODO/VALEO DES VAUX DE VERE,lieu dit Vaux de Vere (Les),35.6,53,recoupement_confirme,recoupement_uniquement
